,Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes,5+Family Affordable Housing Only,5+Family Elderly Housing Only,5+Family Min. Lot (ACRES),5+Family Max. Density (UNITS/ACRE),5+Family Front Setback (# of feet),5+Family Side Setback (# of feet),5+Family Rear Setback (# of feet),5+Family Max. Lot Coverage - Buildings (%),5+Family Max. Lot Coverage - Buildings & Imperviou,5+Family Min. # Parking Spaces Per Studio or 1BR,5+Family Min. # Parking Spaces Per 2+ BR,5+Family Connection to Sewer and/or Water Required,5+Family Connection or Proximity to Public Transit,5+Family Max. Height (# of stories),5+Family Max. Height (# of feet),5+Family Floor to Area Ratio,5+Family Min. Unit Size (SF),5+Family Max. # Bedrooms Per Unit,5+Family Max. # Units Per Building,Base Residential Density (#dwellings/acre),1-Family Lot Frontage Requirement,2-Family Lot Frontage Requirement,3-Family Lot Frontage Requirement,4-Family Lot Frontage Requirement,5+-Family Lot Frontage Requirement,PUD required with Subdivision,PUD Threshold #,PUD allowed,PUD requiring land conservation,Unique GIS schema identifier
437,Completed,2023-11-09,Published,2024-02-02,Vermont,Chittenden County,Burlington,,RM,Residential - Medium Density,2023-07-29,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,40.0,Percent,,,,,,,35,Feet,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,40.0,Percent,,,,,,,,,35,Feet,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Alternatives,40.0,Percent,,,,,,,No,No,,,35,Feet,,,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,40.0,Percent,,,,,,,No,No,,,35,Feet,,,,,,,,,Allowed/Conditional,"“Affordable” shall refer to housing in which the total cost of the housing, including principal, interest taxes and insurance and condominium association fees, if owned housing, or the total cost of the housing, including rent, utilities and condominium association fees, if rental housing, is not more than thirty per cent (30%) of the household’s gross annual income.",No,,,25.0,Units per Acre,,,,,No,No,,,,,,,Allowed/Conditional,Yes,No,Yes,No,,,,,No,30.0,Percent of Main Unit,800.0,Square Feet,1.0,Bedrooms per Unit,Public Hearing,Yes,,,20.0,Units per Acre,,,,,f,f,,,,,,,,,,f,f,,35.0,,,,,20.0,30.0,30.0,30.0,30.0,30.0,f,5.0,t,t,Burlington_Residential - Medium Density
438,Completed,2023-11-09,Published,2024-02-02,Vermont,Chittenden County,Burlington,,RM-W,Waterfront Residential - Medium Density,2023-07-29,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Alternatives,60.0,Percent,,,,,,,35,Feet,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,60.0,Percent,,,,,,,,,35,Feet,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,60.0,Percent,,,,,,,No,No,,,35,Feet,,,,,,,No,No,,,20.0,Units per Acre,average of two adjacent lots,Contextual,10% of lot width; average of two adjacent lots,Alternatives,25% of lot depth; no less than 20',Contextual,60.0,Percent,,,,,,,No,No,,,35,Feet,,,,,,,,,Public Hearing,"“Affordable” shall refer to housing in which the total cost of the housing, including principal, interest taxes and insurance and condominium association fees, if owned housing, or the total cost of the housing, including rent, utilities and condominium association fees, if rental housing, is not more than thirty per cent (30%) of the household’s gross annual income.",No,,,25.0,Units per Acre,,,,,No,No,,,,,,,Allowed/Conditional,Yes,No,Yes,No,,,,,No,30.0,Percent of Main Unit,800.0,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,20.0,Units per Acre,,,,,f,f,,20.0,,,,60.0,,,,f,f,,35.0,,,,,20.0,30.0,30.0,30.0,30.0,30.0,f,5.0,t,t,Burlington_Waterfront Residential - Medium Density
439,Completed,2023-11-21,Published,2024-02-02,Vermont,Chittenden County,Burlington,,SEID,South End Innovation District,2023-08-22,,Yes,No,Yes,Mixed with Residential,No,No,Prohibited,Prohibited,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,80.0,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,85,Feet,2.5,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,80.0,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,85,Feet,2.5,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,,,,,,,80.0,,,,,,85.0,,,,,,,,,,,,,,,
440,Completed,2023-11-21,Published,2024-02-02,Vermont,Chittenden County,Burlington,,UR,Urban Reserve,2023-07-29,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,,,,,,,,,,,,,,,,,,,,,,,,f,,f,f,
441,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,CON-25,Conservation District,2023-08-14,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,25.0,Acres,100,Feet,50,Feet,75,Feet,,,,,,,,,,,,,,,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,700.0,,,,,,,f,,
442,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,NC,Neighborhood Commercial District,2023-08-14,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,1.0,Acres,100,Feet,15,Feet,30,Feet,,,,,,,,,,,,,,,No,No,1.0,Acres per 2-Family,1.0,Units per Acre,100.0,Feet,15.0,Feet,30.0,Feet,,,,,,,,,,,,,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,150.0,150.0,,,,f,,t,t,
443,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,R-2,Residential District,2023-08-14,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.0,Acres,100,Feet,50,Feet,75,Feet,,,,,,,,,,,,,,,No,No,4.0,Acres per 2-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,75.0,Feet,,,,,,,,,,,,,,,,,No,No,6.0,Acres per 3-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,75.0,Feet,,,,,,,,,No,No,,,,,,,,,,,No,No,8.0,Acres per 4+-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,75.0,Feet,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,f,f,10.0,0.5,100.0,50.0,75.0,,,,,f,f,,,,,,,0.5,200.0,200.0,200.0,200.0,200.0,f,,t,t,
444,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,R-5,Residential Agricultural District,2023-08-14,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,5.0,Acres,100,Feet,50,Feet,75,Feet,,,,,,,,,,,,,,,No,No,10.0,Acres per 2-Family,0.2,Units per Acre,100.0,Feet,50.0,Feet,75.0,Feet,,,,,,,,,,,,,,,,,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,400.0,400.0,,,,f,,t,t,
445,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,SPRD-2,Shoreland Planned Residential District,2023-08-14,,No,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,2.0,Acres,100,Feet,50,Feet,100,Feet,,,,,,,,,,,,,,,No,No,4.0,Acres per 2-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,100.0,Feet,,,,,,,,,,,,,,,,,No,No,6.0,Acres per 3-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,100.0,Feet,,,,,,,,,No,No,,,,,,,,,,,No,No,8.0,Acres per 4+-Family,0.5,Units per Acre,100.0,Feet,50.0,Feet,100.0,Feet,,,,,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,f,f,10.0,0.5,100.0,50.0,100.0,,,,,f,f,,,,,,,0.5,200.0,200.0,200.0,200.0,200.0,f,,t,t,
446,Completed,2023-08-30,Published,2024-02-02,Vermont,Addison County,Bridport,,V-1,Village District,2023-08-14,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,1.0,Acres,75,Feet,25,Feet,25,Feet,,,15.0,Percent,,,,,,,,,,,No,No,2.0,Acres per 2-Family,1.0,Units per Acre,75.0,Feet,25.0,Feet,25.0,Feet,,,15.0,Percent,,,,,,,,,,,,,No,No,3.0,Acres per 3-Family,1.0,Units per Acre,75.0,Feet,25.0,Feet,25.0,Feet,,,,,,,,,No,No,,,,,,,,,,,No,No,4.0,Acres per 4+-Family,1.0,Units per Acre,75.0,Feet,25.0,Feet,25.0,Feet,,,15.0,Percent,,,,,No,No,,,,,,,,,,,,,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,Yes,No,,,,,No,30,Percent of Main Unit,500,Square Feet,1.0,Bedrooms per Unit,Allowed/Conditional,Yes,,,,,,,,,f,f,5.0,1.0,75.0,25.0,25.0,,15.0,,,f,f,,,,,,,1.0,100.0,100.0,100.0,100.0,100.0,f,,t,t,
447,Completed,2023-11-20,Published,2024-02-02,Vermont,Chittenden County,Hinesburg,,AG,Agricultural District,2023-07-24,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Public Hearing,Public Hearing,0.5,Acres,"Rt. 116, 80 ft; elsewhere, 60 ft",Contextual,20.0,Feet,30.0,Feet,,,20.0,Percent,2.0,Spaces per Unit,,,35.0,Feet,,Ratio,,Square Feet,No,No,1.0,Acres per 2-Family,2.0,Units per Acre,"Rt. 116, 80 ft; elsewhere, 60 ft",Contextual,20.0,Feet,30.0,Feet,,,20.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,1.5,Acres per 3-Family,2.0,Units per Acre,"Rt. 116, 80 ft; elsewhere, 60 ft",Contextual,20.0,Feet,30.0,Feet,,,20.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,3.0,Bedrooms per Unit,No,No,2.0,Acres per 4+-Family,1.0,Units per Acre,"Rt. 116, 80 ft; elsewhere, 60 ft",Contextual,20.0,Feet,30.0,Feet,,,20.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,,3.0,Bedrooms per Unit,,Units per Building,Public Hearing,,No,,,,,,,,,No,No,,,,,,,Public Hearing,No,No,Yes,No,,,2.0,Parking Spaces Add'l to Main Unit,No,"<1600 sqft, 75%; >4000 sqft, 30%",Contextual,"1600-4000 sqft, 1200 sqft",Contextual,2.0,Bedrooms per Unit,Public Hearing,Yes,,,,,4.0,Units per PRD,,ADU: single family dwelling units only,,,,,,,,,,,,,,,,,,,,2.0,,,200.0,200.0,,f,,t,,Hinesburg_Agricultural
448,Completed,2023-11-20,Published,2024-02-02,Vermont,Chittenden County,Hinesburg,,C,Commercial District,2023-07-24,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.14,Acres,10,Feet,10.0,Feet,10.0,Feet,,,60.0,Percent,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.14,Acres per 2-Family,3.0,Units per Acre,10,Feet,10.0,Feet,10.0,Feet,,,60.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,,,35.0,Feet,,,,,No,No,0.14,Acres per 3-Family,3.0,Units per Acre,10,Feet,10.0,Feet,10.0,Feet,,,60.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,Stories,35.0,Feet,,,,,3.0,Bedrooms per Unit,No,No,0.14,Acres per 4+-Family,3.0,Units per Acre,10,Feet,10.0,Feet,10.0,Feet,,,60.0,Percent,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,35.0,Feet,,,,Square Feet,3.0,Bedrooms per Unit,,,Public Hearing,10% of 10+ dwelling units,No,,,,,2.0,Spaces per Unit,2.0,Spaces per Unit,No,No,,,,,,,Public Hearing,No,No,Yes,No,,,2.0,Parking Spaces Add'l to Main Unit,No,30,Percent of Main Unit,,,2.0,Bedrooms per Unit,Public Hearing,Yes,,Acres per PRD,,Units per Acre,,Units per PRD,,,f,f,0.14,3.0,10.0,10.0,10.0,,60.0,2.0,2.0,,,,35.0,,,3.0,,3.0,60.0,60.0,60.0,60.0,60.0,f,,t,,Hinesburg_Commercial
449,Completed,2023-11-20,Published,2024-02-02,Vermont,Chittenden County,Hinesburg,,I-1,Industrial District 1,2023-07-24,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,,Acres per PRD,,Units per Acre,,Units per PRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,,Hinesburg_Industrial 1
450,Completed,2023-11-20,Published,2024-02-02,Vermont,Chittenden County,Hinesburg,,I-2,Industrial District 2,2023-07-24,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,,Hinesburg_Industrial 2
451,Completed,2023-11-20,Published,2024-02-02,Vermont,Chittenden County,Hinesburg,,I-3,Industrial District 3,2023-07-24,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Public Hearing,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hinesburg_Industrial 3
